user_id,city,device,os,region,gp:utm_source,Survivor,Cluster
sin información,Coatzacoalcos,Windows,Chrome 102,Veracruz,adwords,0,0
sin información,Monterrey,Windows,Edge 16,Nuevo León,sin información,0,4
sin información,Juarez,Android,Chrome Mobile 101,Quintana Roo,adwords,0,1
sin información,Zapopan,Android,Chrome Mobile 102,Jalisco,adwords,0,1
sin información,Guadalupe Trujillo,Android,Chrome Mobile 101,Zacatecas,google2,0,1
719188e9-5654-4624-a6f1-8913428e862b,Mexico City,Android,Chrome Mobile 102,Mexico City,adwords,1,2
sin información,Oaxaca City,Android,Chrome Mobile 102,Oaxaca,adwords,0,1
sin información,Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords,0,2
495e1367-b849-4b1f-a686-0cfea9d35fe5,Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords,1,3
sin información,Ecatepec,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Ahome,Android,Chrome Mobile 95,Sinaloa,adwords,0,1
sin información,Zacatepec,Android,Chrome 92,Morelos,adwords,0,1
bd7684fc-86b9-433d-957e-317f048eec13,Guadalupe,Android,Chrome Mobile 102,Nuevo León,adwords,1,3
sin información,Tlaquepaque,Android,Chrome Mobile 94,Jalisco,sin información,0,4
sin información,Seattle,Windows,Chrome 86,Washington,sin información,0,4
sin información,Culiacán,Android,Chrome Mobile 102,Sinaloa,rocket,0,1
877d21aa-b469-4ebb-b760-d6bd3254a35d,Ciudad Nezahualcoyotl,Android,Chrome Mobile 87,México,sin información,1,3
sin información,Mérida,Apple iPhone,GSA 211,Yucatán,adwords,0,0
sin información,Naucalpan,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Villahermosa,Android,Chrome Mobile 77,Tabasco,adwords,0,1
sin información,Oaxaca City,Android,Chrome Mobile 102,Oaxaca,adwords,0,1
sin información,Tlalnepantla,Windows,Chrome 102,México,adwords,0,1
sin información,Mexico City,Android,Chrome Mobile 101,Mexico City,adwords,0,2
05d1d14a-c157-45d0-aa66-7836d1b31791,Laredo,Windows,Chrome 102,Texas,blog,1,3
sin información,Tula de Allende,Windows,Chrome 102,Hidalgo,adwords,0,0
sin información,Mexico City,Apple iPhone,GSA 213,Mexico City,adwords,0,0
sin información,Torreón,Android,Chrome Mobile 102,Coahuila,adwords,0,1
sin información,Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Miguel Hidalgo,Android,Chrome Mobile 100,Mexico City,adwords,0,2
sin información,Mexico City,Apple iPhone,Chrome Mobile 102,Mexico City,sin información,0,4
sin información,Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Hermosillo,Android,Chrome Mobile 81,Sonora,sin información,0,4
sin información,Chalco,Android,Chrome Mobile 102,México,adwords,0,1
320490a7-f8f0-473f-9dcc-39c80f710494,Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,adwords,1,3
sin información,Guadalupe,Android,Chrome Mobile 101,Nuevo León,adwords,0,1
sin información,Tijuana,Android,Chrome Mobile 102,Baja California,adwords,0,1
sin información,Aguascalientes,Android,Chrome Mobile 102,Aguascalientes,adwords,0,1
sin información,Guadalupe Trujillo,Android,Chrome Mobile 102,Zacatecas,adwords,0,1
sin información,Naucalpan,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Cancún,Android,Chrome 89,Quintana Roo,sin información,0,4
sin información,Tuxtla Gutiérrez,Windows,Opera 87,Chiapas,adwords,0,0
sin información,Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
9cc3e240-df56-4829-94a1-57ffe4a92eb9,Mexico City,Windows,Chrome 101,Mexico City,adwords,1,0
sin información,Durango,Android,Chrome Mobile 87,Durango,sin información,0,4
sin información,Zamora,Android,Chrome 102,Michoacán,sin información,0,4
31a2f60a-af33-4784-a641-4938fcb31b33,Reynosa,Android,Chrome Mobile 102,Tamaulipas,adwords,1,3
sin información,Xalapa,Android,Chrome Mobile 102,Veracruz,adwords,0,1
sin información,Guadalajara,Windows,Chrome 102,Jalisco,adwords,0,0
sin información,Mexicali,Apple iPhone,Chrome Mobile 102,Baja California,sin información,0,4
sin información,Tizayuca,Windows,Chrome 102,Hidalgo,adwords,0,0
sin información,Torreón,Android,Chrome Mobile 102,Coahuila,rocket,0,1
sin información,Xalapa,Android,Chrome Mobile 102,Veracruz,sin información,0,4
76cf49d0-3986-42a3-8584-58416f8a9bba,Fresnillo,Android,Chrome Mobile 101,Zacatecas,adwords,1,3
sin información,Cananea,Android,Chrome Mobile 102,Sonora,sin información,0,4
sin información,Celaya,Android,Chrome Mobile 102,Guanajuato,sin información,0,4
sin información,San Nicolás de los Garza,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Xalapa,Android,Chrome Mobile 96,Veracruz,sin información,0,4
sin información,Coatzacoalcos,Android,Chrome Mobile 102,Veracruz,google2,0,1
sin información,Tlalnepantla,Windows,Chrome 102,México,adwords,0,1
sin información,sin información,Android,Chrome Mobile 95,Tabasco,adwords,0,1
sin información,Huehuetoca,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Zacatecas City,Android,Samsung Browser 16,Zacatecas,adwords,0,1
sin información,León,Android,Chrome Mobile 102,Guanajuato,sin información,0,4
sin información,Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,sin información,0,0
31f4ac9d-6a48-4e7a-98f8-8807ad3e87a5,León,Android,Chrome Mobile 102,Guanajuato,adwords,1,3
sin información,Ciudad Juárez,Android,Chrome Mobile 101,Chihuahua,adwords,0,1
sin información,Comalcalco,Android,Chrome Mobile 100,Tabasco,sin información,0,4
sin información,Guadalajara,Android,Chrome Mobile 101,Jalisco,adwords,0,1
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,sin información,0,0
sin información,Querétaro City,Android,Chrome Mobile 102,Querétaro,adwords,0,1
sin información,Huehuetoca,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Guadalajara,Apple iPhone,Mobile Safari 15,Jalisco,adwords,0,0
sin información,Chilpancingo,Windows,Chrome 102,Guerrero,sin información,0,4
sin información,Tijuana,Windows,Chrome 102,Baja California,adwords,0,0
sin información,Cuautla,Android,Chrome Mobile 81,Morelos,adwords,0,1
sin información,Piedras Negras,Android,Chrome WebView 88,Coahuila,adwords,0,1
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
sin información,Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Ciudad de Villa de Alvarez,Android,Chrome Mobile 102,Colima,adwords,0,1
sin información,Tlalpan,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Mexico City,Android,Chrome Mobile 102,Mexico City,sin información,0,4
sin información,Cuauhtemoc,Windows,Firefox 101,Mexico City,sin información,0,4
sin información,Ciudad Nezahualcoyotl,Windows,Chrome 102,México,adwords,0,1
sin información,General Escobedo,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Ecatepec,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Pachuca,Android,Chrome Mobile 102,Hidalgo,adwords,0,1
sin información,Xalapa,Android,Chrome Mobile 102,Veracruz,sin información,0,4
9d0978ea-e435-4f8e-9ce6-0c30a4740b39,Mexico City,Android,Facebook 369,Mexico City,google2,1,2
sin información,San Nicolás de los Garza,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords,0,1
5a7324c7-a613-4c4a-b1fa-8c91440264c5,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,1,0
sin información,Puebla City,Windows,Chrome 102,Puebla,adwords,0,1
892f8600-2a9d-4e3a-a942-4ab30edcdec7,Coatzacoalcos,Android,Chrome Mobile 102,Veracruz,adwords,1,3
sin información,San Antonio,Windows,Chrome 98,Texas,sin información,0,4
sin información,Puebla City,Windows,Chrome 102,Puebla,adwords,0,1
93af8e57-07b7-4c80-a55a-a0141a379475,Garcia,Android,Chrome Mobile 102,Nuevo León,adwords,1,3
sin información,Ciudad Obregón,Android,Chrome Mobile 102,Sonora,rocket,0,1
sin información,Hermosillo,Android,Chrome Mobile 87,Sonora,sin información,0,4
sin información,Cheyenne,Windows,Chrome 80,Wyoming,sin información,0,4
fdd51e64-b8c6-4a28-a949-e6523f0e6c74,Santa Maria Chimalhuacan,Android,Chrome Mobile 102,México,adwords,1,3
c835956f-cb5a-44f2-9fe1-1bd18a219c23,Xalapa,Android,Chrome Mobile 102,Veracruz,google2,1,3
sin información,Monclova,Android,Chrome Mobile 102,Coahuila,adwords,0,1
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
7fcac235-406e-4801-a905-2e796a69ba6f,McKinney,Apple iPhone,Mobile Safari 15,Texas,blog,1,0
sin información,Toluca,Android,Chrome Mobile 102,México,adwords,0,1
5e8069a8-8f53-4ffb-8970-f8f4b92f5d06,Mérida,Android,Chrome Mobile 101,Yucatán,google2,1,3
74310d11-7352-4b9a-9323-3f6a51c52660,Mexico City,Android,Chrome Mobile 102,Mexico City,sin información,1,4
sin información,Chicoloapan,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Ecatepec,Android,Chrome Mobile 102,México,adwords,0,1
6608b5ec-b0da-47c6-a444-48ba818ca6c4,León,Android,Chrome Mobile 102,Guanajuato,adwords,1,3
db54bb7f-ab6e-40e2-b1de-d7f888a5b406,Puerto Vallarta,Android,Samsung Browser 17,Jalisco,rocket,1,3
sin información,Torreón,Windows,Chrome 101,Coahuila,sin información,0,4
sin información,Guadalajara,Android,Chrome Mobile 101,Jalisco,adwords,0,1
sin información,Toronto,Windows,Chrome 98,Ontario,sin información,0,4
1f6ba0ef-9c91-4910-ae74-12097d41c6de,Jacksonville,Android,Chrome Mobile 100,Florida,sin información,1,3
sin información,Oaxaca City,Windows,Chrome 102,Oaxaca,rocket,0,0
sin información,Des Moines,Windows,Chrome 80,Iowa,sin información,0,4
sin información,Gustavo Adolfo Madero,Windows,Chrome 89,Mexico City,sin información,0,4
sin información,Mexico City,Android,Chrome Mobile 101,Mexico City,adwords,0,2
sin información,Tlalnepantla,Android,Chrome Mobile 102,México,adwords,0,1
sin información,sin información,Android,Chrome Mobile 101,Jalisco,google2,0,1
sin información,Puebla City,Android,Chrome Mobile 102,Puebla,google2,0,1
sin información,Windsor,Android,Chrome Mobile 102,California,adwords,0,1
249f22a9-be80-46db-9776-d89b83755ccd,Comalcalco,Android,Chrome Mobile 102,Tabasco,adwords,1,3
f3f7f230-8f97-43eb-84cb-84b84d00db55,León,Android,Chrome Mobile 102,Guanajuato,adwords,1,3
4128a4f0-f65e-4c0f-9a4d-7846cd99fcd5,San Luis Potosí City,Windows,Chrome 102,San Luis Potosí,adwords,1,3
81759b5f-b5de-4c5a-a59e-760c5942b563,Santa Maria Chimalhuacan,Android,Chrome Mobile 102,México,adwords,1,3
sin información,sin información,Apple iPhone,Mobile Safari 15,Nuevo León,adwords,0,0
sin información,Tuxtla Gutiérrez,Android,Samsung Browser 17,Chiapas,adwords,0,1
sin información,Tlalpan,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Chalco,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Nuevo Laredo,Android,Chrome Mobile 102,Tamaulipas,sin información,0,4
sin información,Culiacán,Android,Chrome Mobile 102,Sinaloa,adwords,0,1
sin información,Celaya,Android,Chrome 92,Guanajuato,adwords,0,1
sin información,Manzanillo,Android,Chrome Mobile 102,Colima,adwords,0,1
bf57a357-81fa-42a6-a2d7-1503932327ae,Reynosa,Android,Chrome Mobile 102,Tamaulipas,google2,1,3
812fe9f1-01c1-49cc-a9e2-bf0cc71e754d,San Luis Potosí City,Android,Chrome Mobile 102,San Luis Potosí,adwords,1,3
sin información,Mexico City,Android,Chrome Mobile 102,Mexico City,sin información,0,4
sin información,San Nicolás de los Garza,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Hermosillo,Android,Chrome Mobile 86,Sonora,adwords,0,1
sin información,Ciudad Juárez,Android,Chrome Mobile 102,Chihuahua,sin información,0,4
sin información,Iztacalco,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Playa del Carmen,Android,Chrome Mobile 102,Quintana Roo,adwords,0,1
fa2235b1-dbb5-4d73-a4e6-decf07958c6f,Centro,Android,Chrome Mobile 102,Tabasco,rocket,1,3
sin información,Ciudad Nezahualcoyotl,Windows,Chrome 96,México,adwords,0,1
sin información,Tapachula,Android,Chrome Mobile 102,Chiapas,adwords,0,1
cbd34d12-6add-4075-8f55-1dc641359501,Santa Maria Chimalhuacan,Android,Chrome Mobile 102,México,adwords,1,3
sin información,Tacubaya,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Mexico City,Android,Chrome Mobile 102,Mexico City,rocket,0,2
sin información,Puebla City,Android,Chrome Mobile 95,Puebla,adwords,0,1
sin información,Gustavo Adolfo Madero,Apple iPhone,Mobile Safari 14,Mexico City,sin información,0,0
bfdd379c-b852-4d78-be65-77200fe7b24c,Guadalajara,Android,Chrome Mobile 102,Jalisco,sin información,1,3
b538d522-bc3f-498b-8114-99d024c8155e,Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords,1,2
sin información,Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords,0,1
9841b858-b3bc-4cf1-8eff-5db12ca0a2fa,Iztapalapa,Android,Chrome 92,Mexico City,sin información,1,4
sin información,Apodaca,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,San Luis Potosí City,Android,Chrome Mobile 101,San Luis Potosí,sin información,0,4
sin información,Veracruz,Android,Chrome Mobile 102,Veracruz,adwords,0,1
948e2a83-2d98-444b-9697-2778c224e219,Chalco,Android,Chrome Mobile 102,México,adwords,1,3
sin información,Monclova,Android,Chrome WebView 88,Coahuila,rocket,0,1
sin información,Naucalpan,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Torreón,Android,Chrome Mobile 101,Coahuila,adwords,0,1
sin información,Chalco,Android,Chrome Mobile 102,México,sin información,0,1
sin información,sin información,Android,Chrome Mobile 102,Jalisco,adwords,0,1
358b7a2f-c881-4134-91ec-48e6d2739d45,Tijuana,Android,Chrome Mobile 102,Baja California,adwords,1,3
sin información,Chihuahua City,Android,Chrome Mobile 102,Chihuahua,rocket,0,1
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
sin información,Villahermosa,Android,Facebook 369,Tabasco,google2,0,1
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
sin información,Guadalupe,Android,Chrome Mobile 102,Nuevo León,rocket,0,1
sin información,Lagos de Moreno,Android,Chrome Mobile 102,Jalisco,adwords,0,1
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
sin información,Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,rocket,0,0
sin información,Monterrey,Android,Chrome Mobile 81,Nuevo León,adwords,0,1
f08cbee8-5962-4574-89cb-6c68cfbba4aa,Toluca,Android,Chrome Mobile 102,México,adwords,1,3
sin información,Toluca,Apple iPhone,GSA 213,México,sin información,0,0
sin información,sin información,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Culiacán,Android,Chrome Mobile 102,Sinaloa,adwords,0,1
f84fec0e-60ad-43ef-a9d5-84fd322fd1e5,Querétaro City,Android,Chrome Mobile 102,Querétaro,adwords,1,3
49a08042-207f-4589-9f84-25b1c675d564,Chihuahua City,Android,Chrome Mobile 102,Chihuahua,adwords,1,3
sin información,Mexico City,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Chiautla,Android,Chrome Mobile 102,México,sin información,0,1
sin información,Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Ocotlan,Android,Chrome Mobile 102,Jalisco,adwords,0,1
sin información,Ciudad Acuña,Android,Chrome Mobile 102,Coahuila,adwords,0,1
sin información,Ecatepec,Android,Chrome Mobile 102,México,adwords,0,1
691f37a8-1a1e-4375-a123-83aaeed29e83,General Escobedo,Windows,Chrome 102,Nuevo León,sin información,1,3
sin información,Monterrey,Windows,Edge 102,Nuevo León,adwords,0,0
sin información,Tuxtla Gutiérrez,Android,Samsung Browser 11,Chiapas,rocket,0,1
sin información,Iztacalco,Android,Chrome Mobile 98,Mexico City,adwords,0,2
cad849b4-ee61-4db1-beac-7ba3ef6f6455,Cuautitlán Izcalli,Android,Chrome Mobile 102,México,adwords,1,3
sin información,Tlalnepantla,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,adwords,0,1
8ff56df1-974a-4f1f-933c-a9ae38b755e5,Naucalpan,Apple iPad,GSA 213,México,adwords,1,3
sin información,Alvaro Obregon,Android,Chrome Mobile 97,Mexico City,adwords,0,2
sin información,Gustavo Adolfo Madero,Windows,Chrome 102,Mexico City,adwords,0,0
sin información,Puebla,Android,Chrome Mobile 102,Mexico City,rocket,0,2
9e505cf6-1865-444f-9b58-c80be800ef43,Claremont,Android,Chrome Mobile 101,North Carolina,adwords,1,3
c7980979-66e7-4a0c-81e5-0b13b8b69e07,Tuxpam de Rodriguez Cano,Android,Chrome Mobile 102,Veracruz,adwords,1,3
sin información,Morelia,Windows,Chrome 102,Michoacán,sin información,0,4
sin información,Cuernavaca,Android,Chrome Mobile 102,Morelos,google2,0,1
sin información,Mexico City,Windows,Chrome 102,Mexico City,adwords,0,0
sin información,Nuevo Ideal,Android,Chrome Mobile 102,Durango,adwords,0,1
sin información,sin información,Android,Chrome Mobile 102,Veracruz,adwords,0,1
sin información,Santa Ana Nextlalpan,Android,Chrome Mobile 102,México,adwords,0,1
sin información,Ecatepec,Android,Chrome Mobile 91,México,adwords,0,1
b3d2f703-b31f-4dc2-8e22-f01153a56a2b,Ecatepec,Android,Chrome Mobile 102,México,adwords,1,3
sin información,Guadalajara,Apple iPhone,Mobile Safari 15,Jalisco,adwords,0,0
sin información,Mexico City,Android,Chrome Mobile 102,Mexico City,sin información,0,4
sin información,Naucalpan,Windows,Chrome 102,México,adwords,0,1
sin información,Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,adwords,0,0
sin información,Córdoba,Android,Chrome Mobile 102,Veracruz,sin información,0,4
sin información,Coyoacán,Android,Samsung Browser 16,Mexico City,rocket,0,2
sin información,Cuernavaca,Apple iPhone,Mobile Safari 13,Morelos,adwords,0,0
sin información,Phoenix,Windows,Chrome 96,Arizona,sin información,0,4
sin información,Guerrero,Android,Chrome Mobile 101,Mexico City,adwords,0,2
5e43111c-564d-4ddc-89fb-1ebe0565bc52,Mexico City,Apple iPhone,GSA 215,Mexico City,adwords,1,0
sin información,Tlalpan,Mac,Safari 13,Mexico City,sin información,0,4
sin información,Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Uruapan,Android,Chrome Mobile 87,Michoacán,adwords,0,1
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
sin información,Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords,0,1
c955ccce-1b9b-44c9-b21e-de27d7bc9c59,Santo Domingo Este,Android,Chrome Mobile 102,Provincia de Santo Domingo,sin información,1,3
sin información,Tijuana,Android,Chrome Mobile 102,Baja California,sin información,0,4
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,rocket,0,0
5969d466-9433-41ca-bc7e-2b2620561285,Puebla,Android,Chrome Mobile 96,Mexico City,adwords,1,2
sin información,Cuautla,Android,Chrome Mobile 102,Morelos,adwords,0,1
75f46280-bf36-4918-8f8e-20c352f16a4f,Puebla,Linux,Chrome 102,Mexico City,google2,1,0
sin información,Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Venustiano Carranza,Windows,Chrome 102,Mexico City,adwords,0,0
sin información,General Escobedo,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Tapachula,Android,Chrome Mobile 102,Chiapas,adwords,0,1
sin información,Mexico City,Apple iPhone,Opera Touch 3,Mexico City,adwords,0,0
sin información,Tijuana,Apple iPhone,Chrome Mobile 102,Baja California,adwords,0,0
cbcef9c4-dc8c-4156-b856-64c0ec38b2b0,Hermosillo,Android,Chrome Mobile 102,Sonora,adwords,1,3
e333042b-a85d-4199-abb8-5572d674d4b8,Zapopan,Windows,Chrome 99,Jalisco,google2,1,3
sin información,Ciudad Victoria,Android,Chrome Mobile 102,Tamaulipas,adwords,0,1
sin información,Mexico City,Android,Facebook 288,Mexico City,sin información,0,4
sin información,Ameca,Mac,Chrome 102,Jalisco,sin información,0,4
31ee9c09-9e0b-410b-bbf5-0aa7715fe963,Mexico City,Android,Samsung Browser 17,Mexico City,adwords,1,2
sin información,Iztapalapa,Android,Chrome Mobile 102,Mexico City,rocket,0,2
sin información,Moroleon,Android,Samsung Browser 16,Guanajuato,rocket,0,1
sin información,Mexicali,Windows,Chrome 102,Baja California,sin información,0,4
sin información,Monterrey,Apple iPhone,Mobile Safari 15,Nuevo León,sin información,0,0
sin información,Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Chalco,Android,Chrome Mobile 102,México,adwords,0,1
